P39743	P38140	1.0	1.0	0.393291659041	0.323624595469
P43603	P15891	1.0	1.0	0.588556504153	0.731898238748
Q04439	P40453	1.0	1.0	0.650128223676	0.525987525988
Q04439	P33334	1.0	1.0	0.697538255566	0.457925636008
P53281	P40494	1.0	1.0	0.645983821702	0.527054108216
Q06449	P15891	1.0	1.0	0.444823852953	0.561122244489
P47068	Q06412	1.0	1.0	0.802707893329	0.575342465753
P53281	Q03780	1.0	1.0	0.326084870715	0.53074433657
P80667	P38266	1.0	1.0	0.551716786655	0.418246300599
P38822	Q08912	1.0	1.0	0.763775476054	0.409001956947
P38822	Q12446	1.0	1.0	0.904958452149	0.409001956947
P38753	P54199	1.0	1.0	0.883956484942	0.89378757515
P40073	P36122	0.0	0.833333333333	0.158655253931	0.611226611227
P38041	Q12168	1.0	1.0	0.304150560153	0.303236245955
P53281	Q12344	1.0	1.0	0.714303109742	0.477955911824
Q04439	P53094	1.0	1.0	0.735161776674	0.513698630137
Q04439	Q12446	1.0	1.0	0.332628474675	0.191780821918
Q05080	P53901	1.0	1.0	0.656341955818	0.444579288026
Q06449	Q12344	1.0	1.0	0.714303109742	0.488565488565
P32793	P40956	1.0	1.0	0.905745048762	0.418015102481
P53281	P53933	1.0	1.0	0.976049744673	0.418786692759
P38753	P36041	1.0	1.0	0.607188990328	0.633266533066
P36006	Q12342	1.0	1.0	0.922462679825	0.541082164329
Q06449	P53118	0.0	1.0	0.814940371594	0.488565488565
P43603	P37370	1.0	1.0	0.569722087916	0.529126213592
P32793	P38870	1.0	1.0	0.378090379742	0.386105544422
P29366	Q06412	1.0	1.0	0.734943436355	0
P15891	P53974	1.0	1.0	0.444725074524	0.397782397782
P36006	Q03497	1.0	1.0	0.903684165997	1.0
P36006	P40450	1.0	1.0	0.762283338513	0.375606375606
P39743	P47129	1.0	1.0	0.642444296877	0.406392694064
Q06449	Q06604	1.0	1.0	0.646355676782	0.599804305284
P43603	Q06604	1.0	1.0	0.959245777869	0.860706860707
P43603	P40453	1.0	1.0	0.299617826652	0.860706860707
P36006	P17555	1.0	1.0	0.937012260038	0.541082164329
Q12163	P48562	1.0	1.0	0.170971453365	0.633266533066
P53281	P53169	1.0	1.0	0.593865540399	0.432865731463
Q04439	P37370	1.0	1.0	0.474325865014	0.457925636008
P39743	Q12446	1.0	1.0	0.41995836209	0
P43603	P53933	1.0	1.0	0.976049744673	0.418786692759
P32793	Q12510	1.0	0.75	0.571816211993	0.479458917836
P47068	P53933	1.0	1.0	0.597997272054	0.575342465753
P43603	P09119	1.0	1.0	0.192195746144	0.860706860707
P15891	P47068	1.0	1.0	0.726468399237	0.344074844075
Q06449	Q07533	1.0	1.0	0.595803621572	0.599804305284
P38822	P36041	1.0	1.0	0.631941549948	0
P43603	Q06604	1.0	1.0	0.959245777869	0.557114228457
P15891	P40494	1.0	1.0	0.456733440697	0.397782397782
P43603	Q04749	0.0	0.25	0.62693634339	0.414829659319
P40073	Q07533	1.0	1.0	0.834516179716	0.581427581428
P53281	Q08229	1.0	0.75	0.867145785256	0.517612524462
Q04439	Q08912	1.0	1.0	0.465401995757	0.525987525988
Q04439	Q04439	1.0	1.0	0.679630809099	0.457925636008
P43603	P38140	1.0	1.0	0.393291659041	0.860706860707
Q05080	P39955	1.0	1.0	0.255847724445	0.357605177994
P38822	P38266	1.0	1.0	0.551716786655	0
P36006	P40450	1.0	1.0	0.876737936269	0.637274549098
P29366	Q03497	1.0	1.0	0.903684165997	0.191780821918
P36006	P37370	1.0	1.0	0.758712384646	0.541082164329
